id,report_type_id,company_id,"name","uuid",total_score,published_by,"published_at",published_immediately,created_by,"created_at",updated_by,"updated_at",deleted_by,"deleted_at"
118,1,23,NULL,"1153488c-7e12-edb4-31e2-8881f67b1e27",186,13,"2009-04-14 00:00:00",0,1,"2009-11-04 11:52:31",1,"2010-04-15 01:25:17",NULL,NULL
119,1,23,NULL,"8a36b769-251a-8474-e5b2-6bbcc6d2d2b9",187,1,"2008-04-14 00:00:00",0,1,"2009-11-04 11:52:31",1,"2010-04-15 01:25:19",NULL,NULL
120,1,23,NULL,"7e3b5c5a-a0ba-c4a4-c1b4-c2822dece0b9",176,1,"2007-04-14 00:00:00",0,1,"2009-11-04 11:52:31",1,"2010-04-15 01:25:21",NULL,NULL
121,1,37,NULL,"643e0409-4826-1574-ad99-bc82fe2f3978",134,1,"2010-04-14 00:00:00",0,5,"2009-12-08 10:56:28",13,"2011-04-20 13:38:25",NULL,NULL
122,1,37,NULL,"045c967e-2c52-b0d4-a580-ce17c8ffb0e2",130,5,"2009-04-14 00:00:00",0,5,"2009-12-08 10:56:28",1,"2010-04-15 01:25:36",NULL,NULL
123,1,37,NULL,"41333945-1795-ec14-e93c-402b0d5c38bf",140,5,"2008-04-14 00:00:00",0,5,"2009-12-08 10:56:28",1,"2010-04-15 01:25:39",NULL,NULL
124,1,39,NULL,"0ed73869-b43c-6024-b13e-31d1f9102ee5",124,1,"2010-04-14 00:00:00",0,5,"2009-12-08 11:15:31",13,"2011-04-20 13:38:25",NULL,NULL
125,1,39,NULL,"0c38d705-c272-16f4-9d11-3dc7c75de7c7",111,5,"2009-04-14 00:00:00",0,5,"2009-12-08 11:15:31",1,"2010-04-15 01:25:53",NULL,NULL
126,1,39,NULL,"8a4c978c-df85-9684-c505-75dfa4fb9bfd",105,5,"2008-04-14 00:00:00",0,5,"2009-12-08 11:15:31",1,"2010-04-15 01:25:55",NULL,NULL
127,1,6,NULL,"396a5050-bb75-b074-91b2-140101d835d4",106,1,"2010-04-14 00:00:00",0,2,"2009-09-23 12:06:17",13,"2011-04-20 13:38:25",NULL,NULL
128,1,6,NULL,"33251d4c-3f4e-13a4-f572-095764b43bb0",110,1,"2009-04-14 00:00:00",0,2,"2009-09-23 12:06:17",1,"2010-04-15 01:26:04",NULL,NULL
129,1,6,NULL,"c6660032-4985-d404-f51b-247992e35d75",94,1,"2008-04-14 00:00:00",0,2,"2009-09-23 12:06:17",1,"2010-04-15 01:26:07",NULL,NULL
130,1,38,NULL,"709c04ca-7113-1224-d530-f4f2a10736e5",129,1,"2010-04-14 00:00:00",0,5,"2009-12-08 11:11:00",13,"2011-04-20 13:38:25",NULL,NULL
131,1,38,NULL,"4957fb99-9fbc-7f14-6925-af2c7686efeb",105,5,"2009-04-14 00:00:00",0,5,"2009-12-08 11:11:00",1,"2010-04-15 01:26:17",NULL,NULL
132,1,48,NULL,"c0102a59-112b-dba4-3137-b46f99a64970",193,1,"2010-04-14 00:00:00",0,5,"2009-12-22 16:40:19",13,"2011-04-20 13:38:25",NULL,NULL
