id,report_type_id,metric_id,order_id,created_by,"created_at",updated_by,"updated_at",deleted_by,"deleted_at"
73,12,4,3,13,"2010-12-06 15:28:42",13,"2010-12-06 15:28:42",NULL,NULL
74,12,5,4,13,"2010-12-06 15:28:42",13,"2010-12-06 15:28:42",NULL,NULL
75,12,6,5,13,"2010-12-06 15:28:42",13,"2010-12-06 15:28:42",NULL,NULL
76,12,7,6,13,"2010-12-06 15:28:42",13,"2010-12-06 15:28:42",NULL,NULL
77,12,8,7,13,"2010-12-06 15:28:42",13,"2010-12-06 15:28:42",NULL,NULL
78,13,1,0,13,"2011-01-07 11:31:44",13,"2011-01-07 11:31:44",NULL,NULL
79,13,2,1,13,"2011-01-07 11:31:44",13,"2011-01-07 11:31:44",NULL,NULL
80,13,3,2,13,"2011-01-07 11:31:44",13,"2011-01-07 11:31:44",NULL,NULL
81,13,4,3,13,"2011-01-07 11:31:44",13,"2011-01-07 11:31:44",NULL,NULL
82,13,5,4,13,"2011-01-07 11:31:44",13,"2011-01-07 11:31:44",NULL,NULL
83,13,6,5,13,"2011-01-07 11:31:44",13,"2011-01-07 11:31:44",NULL,NULL
84,13,7,6,13,"2011-01-07 11:31:44",13,"2011-01-07 11:31:44",NULL,NULL
85,13,8,7,13,"2011-01-07 11:31:44",13,"2011-01-07 11:31:44",NULL,NULL
86,14,1,0,13,"2011-01-07 15:20:33",13,"2011-01-07 15:20:33",NULL,NULL
87,14,2,1,13,"2011-01-07 15:20:33",13,"2011-01-07 15:20:33",NULL,NULL
88,14,3,2,13,"2011-01-07 15:20:33",13,"2011-01-07 15:20:33",NULL,NULL
89,14,4,3,13,"2011-01-07 15:20:33",13,"2011-01-07 15:20:33",NULL,NULL
90,14,5,4,13,"2011-01-07 15:20:33",13,"2011-01-07 15:20:33",NULL,NULL
91,14,6,5,13,"2011-01-07 15:20:33",13,"2011-01-07 15:20:33",NULL,NULL
92,14,7,6,13,"2011-01-07 15:20:33",13,"2011-01-07 15:20:33",NULL,NULL
93,14,8,7,13,"2011-01-07 15:20:33",13,"2011-01-07 15:20:33",NULL,NULL
94,15,1,0,13,"2011-04-13 13:42:09",13,"2011-04-13 13:42:09",NULL,NULL
95,15,2,1,13,"2011-04-13 13:42:09",13,"2011-04-13 13:42:09",NULL,NULL
96,15,3,2,13,"2011-04-13 13:42:09",13,"2011-04-13 13:42:09",NULL,NULL
97,15,4,3,13,"2011-04-13 13:42:09",13,"2011-04-13 13:42:09",NULL,NULL
98,15,5,4,13,"2011-04-13 13:42:09",13,"2011-04-13 13:42:09",NULL,NULL
99,15,6,5,13,"2011-04-13 13:42:09",13,"2011-04-13 13:42:09",NULL,NULL
100,15,7,6,13,"2011-04-13 13:42:09",13,"2011-04-13 13:42:09",NULL,NULL
101,15,8,7,13,"2011-04-13 13:42:09",13,"2011-04-13 13:42:09",NULL,NULL
102,16,1,0,13,"2011-04-13 16:36:21",13,"2011-04-13 16:36:21",NULL,NULL
103,16,2,1,13,"2011-04-13 16:36:21",13,"2011-04-13 16:36:21",NULL,NULL
104,16,3,2,13,"2011-04-13 16:36:21",13,"2011-04-13 16:36:21",NULL,NULL
105,16,4,3,13,"2011-04-13 16:36:21",13,"2011-04-13 16:36:21",NULL,NULL
106,16,5,4,13,"2011-04-13 16:36:21",13,"2011-04-13 16:36:21",NULL,NULL
107,16,6,5,13,"2011-04-13 16:36:21",13,"2011-04-13 16:36:21",NULL,NULL
108,16,7,6,13,"2011-04-13 16:36:22",13,"2011-04-13 16:36:22",NULL,NULL
109,16,8,7,13,"2011-04-13 16:36:22",13,"2011-04-13 16:36:22",NULL,NULL
110,17,1,0,13,"2011-04-13 17:33:39",13,"2011-04-13 17:33:39",NULL,NULL
111,17,2,1,13,"2011-04-13 17:33:39",13,"2011-04-13 17:33:39",NULL,NULL
112,17,3,2,13,"2011-04-13 17:33:39",13,"2011-04-13 17:33:39",NULL,NULL
113,17,4,3,13,"2011-04-13 17:33:39",13,"2011-04-13 17:33:39",NULL,NULL
114,17,5,4,13,"2011-04-13 17:33:39",13,"2011-04-13 17:33:39",NULL,NULL
115,17,6,5,13,"2011-04-13 17:33:39",13,"2011-04-13 17:33:39",NULL,NULL
116,17,7,6,13,"2011-04-13 17:33:39",13,"2011-04-13 17:33:39",NULL,NULL
117,17,8,7,13,"2011-04-13 17:33:39",13,"2011-04-13 17:33:39",NULL,NULL
118,18,1,0,13,"2011-05-09 12:20:36",13,"2011-05-09 12:20:36",NULL,NULL
119,18,2,0,13,"2011-05-09 12:20:53",13,"2011-05-09 12:20:53",NULL,NULL
120,18,3,0,13,"2011-05-09 14:54:32",13,"2011-05-09 14:54:32",NULL,NULL
121,18,4,0,13,"2011-05-09 15:01:48",13,"2011-05-09 15:01:48",NULL,NULL
122,18,5,0,13,"2011-05-09 15:44:28",13,"2011-05-09 15:44:28",NULL,NULL
