1,3,2,3,5,1,Banco Santander,efad613a-7603-72f4-2d31-88a08449b705.png,e7513840-e73d-d144-4999-135535291c42.jpg,http://www.santander.com,1,03/07/2010 10:00,1,1,11/09/2009 16:35,5,15/12/2009 10:34,NULL,NULL
2,2,2,27,1,1,AT&T (duplicate-do not use),b6bbfc15-aefb-c9d4-7d5f-d188e1b3540c.png,49688420-8339-1a94-9df6-034173606bc1.png,http://www.att.com,1,03/07/2010 10:00,1,1,11/09/2009 16:35,13,26/04/2010 10:43,NULL,26/04/2010 10:43
3,2,2,27,5,1,Telefonica,1b59cff9-d183-9ac4-cd35-28a03e682022.png,2f6a10c5-5028-6164-89c0-3b75248d489b.png,http://www.telefonica.com,1,03/07/2010 10:00,1,1,11/09/2009 16:35,5,15/12/2009 10:37,NULL,NULL
4,3,2,7,17,1,Engine Creative,engine_creative.jpg,engine_creative_bigger.jpg,http://www.enginecreative.co.uk,0,NULL,0,1,11/09/2009 15:40,1,07/10/2009 19:37,NULL,07/10/2009 19:37
5,2,1,16,17,NULL,BP,ed304be9-21c4-c2a4-0da3-90e1460a2124.jpg,9f169628-65e1-43a4-3dc3-3450d77e1738.jpg,http://www.bp.com,1,NULL,1,2,22/09/2009 14:25,5,15/12/2009 10:37,NULL,NULL
6,2,1,38,9,NULL,China Mobile,025cabae-3df9-5b04-6d35-921bccc627a4.jpg,c5d77ee7-e9ce-9934-edb3-5bfba5b1a672.jpg,http://www.chinamobileltd.com,1,NULL,1,2,23/09/2009 12:01,5,15/12/2009 10:38,NULL,NULL
7,2,1,26,2,3,Siemens,7c73646e-9d17-2c14-8197-308be707a98f.gif,65c5475d-c224-e6f4-b58f-be22f4ea9c56.jpg,http://www.siemens.com,1,NULL,1,1,14/10/2009 09:41,13,02/07/2010 17:03,NULL,NULL
8,3,1,16,17,1,Royal Dutch Shell,edcffa75-85fb-4e64-5962-8c38948ab854.gif,7c368d94-a43b-c364-21fa-766e5e9621fa.gif,http://www.shell.com,1,06/01/2010 00:00,1,1,14/10/2009 14:42,13,12/05/2010 15:36,NULL,NULL
9,2,1,13,19,NULL,Nokia,70c1ba54-6a09-8194-85cf-0d3bd97edab0.gif,d3958ee4-7784-63c4-c1cb-4ddb66564c86.gif,http://www.nokia.com,0,NULL,1,1,14/10/2009 15:45,5,15/12/2009 10:42,NULL,NULL
10,3,1,17,20,NULL,AstraZeneca,7bf0a9f7-fa1d-3b04-91d5-ec0974f5f01f.gif,f03808a4-3e82-7ca4-3da9-2f09480e7346.gif,http://www.astrazeneca.com,0,NULL,1,1,14/10/2009 16:02,10,17/11/2009 15:39,NULL,NULL
11,3,1,16,6,NULL,Total,e839ab1b-7375-3f84-dd4d-72b9d0cdf0bd.gif,8f3c9ded-de89-4ea4-91a6-9073b9b93548.gif,http://www.total.com,0,NULL,1,1,14/10/2009 16:33,10,17/11/2009 15:43,NULL,NULL
12,2,1,23,1,NULL,Coca-Cola,fb2ef67e-2d0a-9a64-790b-2376db7b2bef.jpg,09327894-27a6-1e74-8d8e-38223f0cab71.jpg,http://www.thecocacolacompany.com,1,NULL,1,1,27/10/2009 12:09,13,23/04/2010 16:28,NULL,NULL
