ReportTagId,TagName,Deleted,DateCreated,WhoCreated,DateUpdated,WhoUpdated,DateDeleted,WhoDeleted,MigrationId
296,jobseekers video profiles,0,2013-10-17 13:24:09.687,8465,NULL,NULL,NULL,NULL,336
297,GRI chart,0,2013-10-17 13:24:18.840,8465,NULL,NULL,NULL,NULL,337
298,Excel financials,0,2013-10-17 13:24:28.597,8465,NULL,NULL,NULL,NULL,338
299,media twitter feed,0,2013-10-17 13:24:36.430,8465,NULL,NULL,NULL,NULL,339
300,csr report builder,0,2013-10-17 13:24:42.767,8465,NULL,NULL,NULL,NULL,341
301,Taleo,0,2013-10-17 13:24:44.763,8465,NULL,NULL,NULL,NULL,343
302,colour coding,0,2013-10-17 13:24:49.530,8465,NULL,NULL,NULL,NULL,344
303,double decker navigation,0,2013-10-17 13:24:52.217,8465,NULL,NULL,NULL,NULL,345
304,vacancies portal approach,0,2013-10-17 13:24:55.860,8465,NULL,NULL,NULL,NULL,350
305,language toggle,0,2013-10-17 13:24:58.083,8465,NULL,NULL,NULL,NULL,354
306,investor rss feeds,0,2013-10-17 13:25:02.253,8465,NULL,NULL,NULL,NULL,355
307,resizeable text,0,2013-10-17 13:25:06.500,8465,NULL,NULL,NULL,NULL,357
308,named press contacts,0,2013-10-17 13:25:12.067,8465,NULL,NULL,NULL,NULL,362
309,csr maps,0,2013-10-17 13:25:22.340,8465,NULL,NULL,NULL,NULL,364
310,multiple customer routes,0,2013-10-17 13:25:24.343,8465,NULL,NULL,NULL,NULL,365
311,graduate profiles,0,2013-10-17 13:25:27.167,8465,NULL,NULL,NULL,NULL,367
312,measurement systems strong,0,2013-10-17 13:25:35.323,8465,NULL,NULL,NULL,NULL,368
313,webcasts strong,0,2013-10-17 13:25:38.413,8465,NULL,NULL,NULL,NULL,369
314,secondary navigation unusual,0,2013-10-17 13:25:41.533,8465,NULL,NULL,NULL,NULL,372
315,blog on-site,0,2013-10-17 13:25:44.407,8465,NULL,NULL,NULL,NULL,374
316,corporate content other languages,0,2013-10-17 13:25:45.907,8465,NULL,NULL,NULL,NULL,375
317,home page video,0,2013-10-17 13:25:48.767,8465,NULL,NULL,NULL,NULL,378
318,history timeline,0,2013-10-17 13:25:52.460,8465,NULL,NULL,NULL,NULL,379
319,social media friendly,0,2013-10-17 13:25:58.183,8465,NULL,NULL,NULL,NULL,380
320,investor charting tools,0,2013-10-17 13:26:09.940,8465,NULL,NULL,NULL,NULL,381
321,analyst background,0,2013-10-17 13:26:14.790,8465,NULL,NULL,NULL,NULL,383
322,investor podcasts,0,2013-10-17 13:26:19.300,8465,NULL,NULL,NULL,NULL,384
323,annual report HTML,0,2013-10-17 13:26:24.117,8465,NULL,NULL,NULL,NULL,385
324,analyst FAQs,0,2013-10-17 13:26:33.263,8465,NULL,NULL,NULL,NULL,387
325,investor youtube,0,2013-10-17 13:26:35.410,8465,NULL,NULL,NULL,NULL,388
326,media fact sheets,0,2013-10-17 13:26:36.260,8465,NULL,NULL,NULL,NULL,389
327,video library,0,2013-10-17 13:26:40.997,8465,NULL,NULL,NULL,NULL,390
328,press release filters,0,2013-10-17 13:26:46.650,8465,NULL,NULL,NULL,NULL,391
329,careers location info,0,2013-10-17 13:26:54.503,8465,NULL,NULL,NULL,NULL,392
330,csr interactive features,0,2013-10-17 13:26:58.727,8465,NULL,NULL,NULL,NULL,393
331,csr videos,0,2013-10-17 13:27:02.050,8465,NULL,NULL,NULL,NULL,394
332,csr charts strong,0,2013-10-17 13:27:07.483,8465,NULL,NULL,NULL,NULL,396
333,csr data tables,0,2013-10-17 13:27:10.673,8465,NULL,NULL,NULL,NULL,397
334,philanthropy strong,0,2013-10-17 13:27:15.113,8465,NULL,NULL,NULL,NULL,398
335,csr targets strong,0,2013-10-17 13:27:17.303,8465,NULL,NULL,NULL,NULL,399
336,controversy management strong ,0,2013-10-17 13:27:19.383,8465,NULL,NULL,NULL,NULL,400
337,csr twitter,0,2013-10-17 13:27:23.430,8465,NULL,NULL,NULL,NULL,402
338,investor contacts strong,0,2013-10-17 13:27:27.703,8465,NULL,NULL,NULL,NULL,403
339,online job application,0,2013-10-17 13:27:31.367,8465,NULL,NULL,NULL,NULL,404
340,webcast q&as,0,2013-10-17 13:27:31.500,8465,NULL,NULL,NULL,NULL,405
341,Executive videos,0,2013-10-17 13:27:36.477,8465,NULL,NULL,NULL,NULL,406
342,named media contacts,0,2013-10-17 13:27:39.590,8465,NULL,NULL,NULL,NULL,407
343,home page: no scrolling,0,2013-10-17 13:27:39.927,8465,NULL,NULL,NULL,NULL,408
344,youtube channel,0,2013-10-17 13:27:47.313,8465,NULL,NULL,NULL,NULL,409
345,deep navigation unusual,0,2013-10-17 13:27:54.463,8465,NULL,NULL,NULL,NULL,410
346,hub effective,0,2013-10-17 13:27:57.513,8465,NULL,NULL,NULL,NULL,411
347,same window throughout,0,2013-10-17 13:28:00.617,8465,NULL,NULL,NULL,NULL,412
348,home page: billboard emphasis,0,2013-10-17 13:28:02.663,8465,NULL,NULL,NULL,NULL,413
349,shareholder breakdown,0,2013-10-17 13:28:08.007,8465,NULL,NULL,NULL,NULL,414
350,flickr image library,0,2013-10-17 13:28:10.197,8465,NULL,NULL,NULL,NULL,415
351,resizable text,0,2013-10-17 13:28:13.983,8465,NULL,NULL,NULL,NULL,416
352,blog off-site,0,2013-10-17 13:28:14.467,8465,NULL,NULL,NULL,NULL,417
353,blog corporate,0,2013-10-17 13:28:15.803,8465,NULL,NULL,NULL,NULL,418
354,home page: well managed,0,2013-10-17 13:28:17.990,8465,NULL,NULL,NULL,NULL,419
355,company content in other languages,0,2013-10-17 13:28:18.283,8465,NULL,NULL,NULL,NULL,420
356,webasts strong,0,2013-10-17 13:28:18.693,8465,NULL,NULL,NULL,NULL,421
357,accessibility - good,0,2013-10-17 13:28:19.087,8465,NULL,NULL,NULL,NULL,422
358,press releases integrated,0,2013-10-17 13:28:21.630,8465,NULL,NULL,NULL,NULL,423
359,csr contacts,0,2013-10-17 13:28:23.730,8465,NULL,NULL,NULL,NULL,424
360,case studies strong,0,2013-10-17 13:28:26.230,8465,NULL,NULL,NULL,NULL,425
361,lanugage toggle,0,2013-10-17 13:28:29.240,8465,NULL,NULL,NULL,NULL,426
362,investor podcast,0,2013-10-17 13:28:29.573,8465,NULL,NULL,NULL,NULL,427
363,history unusual,0,2013-10-17 13:28:29.973,8465,NULL,NULL,NULL,NULL,428
364,investor event reminder,0,2013-10-17 13:28:34.100,8465,NULL,NULL,NULL,NULL,429
365,careers locations info,0,2013-10-17 13:28:35.310,8465,NULL,NULL,NULL,NULL,430
366,mega dropdown pane,0,2013-10-17 13:28:35.667,8465,NULL,NULL,NULL,NULL,431
367,video libary,0,2013-10-17 13:28:35.937,8465,NULL,NULL,NULL,NULL,432
368,home page well-managed,0,2013-10-17 13:28:36.313,8465,NULL,NULL,NULL,NULL,433
369,home page: magazine emphasis,0,2013-10-17 13:28:37.830,8465,NULL,NULL,NULL,NULL,434
370,home pahe: no scrolling,0,2013-10-17 13:28:41.183,8465,NULL,NULL,NULL,NULL,435
371,home page: panels,0,2013-10-17 13:28:41.383,8465,NULL,NULL,NULL,NULL,436
372,company info strong,0,2013-10-17 13:28:43.560,8465,NULL,NULL,NULL,NULL,437
373,history unusual. history timeline,0,2013-10-17 13:28:44.483,8465,NULL,NULL,NULL,NULL,438
374,press release integrated,0,2013-10-17 13:28:44.620,8465,NULL,NULL,NULL,NULL,439
375,jobseekers social media; jobseekers twitter,0,2013-10-17 13:28:45.557,8465,NULL,NULL,NULL,NULL,440
376,mega dropdown panel,0,2013-10-17 13:28:45.823,8465,NULL,NULL,NULL,NULL,441
377,accessibility good,0,2013-10-17 13:28:50.050,8465,NULL,NULL,NULL,NULL,442
378,history good images,0,2013-10-17 13:28:50.680,8465,NULL,NULL,NULL,NULL,443
379,about us unusual,0,2013-10-17 13:28:53.130,8465,NULL,NULL,NULL,NULL,444
